;Date;Country;Confirmed;Recovered;Deaths
0;2020-01-22;afghanistan;0;0;0
1;2020-01-22;albania;0;0;0
2;2020-01-22;algeria;0;0;0
3;2020-01-22;andorra;0;0;0
4;2020-01-22;angola;0;0;0
5;2020-01-22;antigua and barbuda;0;0;0
6;2020-01-22;argentina;0;0;0
7;2020-01-22;armenia;0;0;0
8;2020-01-22;australia;0;0;0
9;2020-01-22;austria;0;0;0
10;2020-01-22;azerbaijan;0;0;0
11;2020-01-22;bahamas;0;0;0
12;2020-01-22;bahrain;0;0;0
13;2020-01-22;bangladesh;0;0;0
14;2020-01-22;barbados;0;0;0
15;2020-01-22;belarus;0;0;0
16;2020-01-22;belgium;0;0;0
17;2020-01-22;belize;0;0;0
18;2020-01-22;benin;0;0;0
19;2020-01-22;bhutan;0;0;0
20;2020-01-22;bolivia;0;0;0
21;2020-01-22;bosnia and herzegovina;0;0;0
22;2020-01-22;botswana;0;0;0
23;2020-01-22;brazil;0;0;0
24;2020-01-22;brunei;0;0;0
25;2020-01-22;bulgaria;0;0;0
26;2020-01-22;burkina faso;0;0;0
27;2020-01-22;burma;0;0;0
28;2020-01-22;cabo verde;0;0;0
29;2020-01-22;cambodia;0;0;0
30;2020-01-22;cameroon;0;0;0
31;2020-01-22;canada;0;0;0
32;2020-01-22;central african republic;0;0;0
33;2020-01-22;chad;0;0;0
34;2020-01-22;chile;0;0;0
35;2020-01-22;china;548;28;17
36;2020-01-22;colombia;0;0;0
37;2020-01-22;congo (brazzaville);0;0;0
38;2020-01-22;congo (kinshasa);0;0;0
39;2020-01-22;costa rica;0;0;0
40;2020-01-22;cote d'ivoire;0;0;0
41;2020-01-22;croatia;0;0;0
42;2020-01-22;cuba;0;0;0
43;2020-01-22;cyprus;0;0;0
44;2020-01-22;czechia;0;0;0
45;2020-01-22;denmark;0;0;0
46;2020-01-22;diamond princess;0;0;0
47;2020-01-22;djibouti;0;0;0
48;2020-01-22;dominica;0;0;0
49;2020-01-22;dominican republic;0;0;0
50;2020-01-22;ecuador;0;0;0
51;2020-01-22;egypt;0;0;0
52;2020-01-22;el salvador;0;0;0
53;2020-01-22;equatorial guinea;0;0;0
54;2020-01-22;eritrea;0;0;0
55;2020-01-22;estonia;0;0;0
56;2020-01-22;eswatini;0;0;0
57;2020-01-22;ethiopia;0;0;0
58;2020-01-22;fiji;0;0;0
59;2020-01-22;finland;0;0;0
60;2020-01-22;france;0;0;0
61;2020-01-22;gabon;0;0;0
62;2020-01-22;gambia;0;0;0
63;2020-01-22;georgia;0;0;0
64;2020-01-22;germany;0;0;0
65;2020-01-22;ghana;0;0;0
66;2020-01-22;greece;0;0;0
67;2020-01-22;grenada;0;0;0
68;2020-01-22;guatemala;0;0;0
69;2020-01-22;guinea;0;0;0
70;2020-01-22;guinea-bissau;0;0;0
71;2020-01-22;guyana;0;0;0
72;2020-01-22;haiti;0;0;0
73;2020-01-22;holy see;0;0;0
74;2020-01-22;honduras;0;0;0
75;2020-01-22;hungary;0;0;0
76;2020-01-22;iceland;0;0;0
77;2020-01-22;india;0;0;0
78;2020-01-22;indonesia;0;0;0
79;2020-01-22;iran;0;0;0
80;2020-01-22;iraq;0;0;0
81;2020-01-22;ireland;0;0;0
82;2020-01-22;israel;0;0;0
83;2020-01-22;italy;0;0;0
84;2020-01-22;jamaica;0;0;0
85;2020-01-22;japan;2;0;0
86;2020-01-22;jordan;0;0;0
87;2020-01-22;kazakhstan;0;0;0
88;2020-01-22;kenya;0;0;0
89;2020-01-22;korea, south;1;0;0
90;2020-01-22;kosovo;0;0;0
91;2020-01-22;kuwait;0;0;0
92;2020-01-22;kyrgyzstan;0;0;0
93;2020-01-22;laos;0;0;0
94;2020-01-22;latvia;0;0;0
95;2020-01-22;lebanon;0;0;0
96;2020-01-22;liberia;0;0;0
97;2020-01-22;libya;0;0;0
98;2020-01-22;liechtenstein;0;0;0
99;2020-01-22;lithuania;0;0;0
100;2020-01-22;luxembourg;0;0;0
101;2020-01-22;ms zaandam;0;0;0
102;2020-01-22;madagascar;0;0;0
103;2020-01-22;malaysia;0;0;0
